Rank,Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Growth rate from 2011-2020
1,South Korea,925204,1031155,1165789,1175472,1339678,1475081,1607821,1587959,1989322,338877,-63%
2,United States,624527,652626,674564,722750,779217,869463,957813,1034396,1064440,211816,-66%
4,Japan,375496,412474,433705,463744,495662,635238,884180,631801,682788,136664,-63%
3,China,243137,250883,426352,394951,490841,675663,968447,1255258,1743309,170432,-29%
7,Taiwan,181738,216511,139099,142973,177670,229303,236777,240842,327273,48644,-73%
5,Australia,170736,191150,213023,224784,241187,251098,259433,279821,286170,55330,-67%
10,Singapore,137802,148215,175034,179099,181176,176057,168637,171795,158595,19998,-85%
6,Canada,117423,123699,131381,143899,153363,175631,300640,226429,238850,55273,-52%
8,United Kingdom,104466,113282,122759,133665,154189,173229,282708,301039,209206,39980,-61%
9,Malaysia,91752,114513,109437,139245,155814,139133,143566,145242,139882,23359,-74%
