Year,South_Korea,USA,Japan,China,Taiwan,Australia,Singapore,Canada,UK,Malaysia
2011,925204,624527,375496,243137,181738,170736,137802,117423,104466,91752
2012,1031155,652626,412474,250883,216511,191150,148215,123699,113282,114513
2013,1165789,674564,433705,426352,139099,213023,175034,131381,122759,109437
2014,1175472,722750,463744,394951,142973,224784,179099,143899,133665,139245
2015,1339678,779217,495662,490841,177670,241187,181176,153363,154189,155814
2016,1475081,869463,635238,675663,229303,251098,176057,175631,173229,139133
2017,1607821,957813,884180,968447,236777,259433,168637,300640,282708,143566
2018,1587959,1034396,631801,1255258,240842,279821,171795,226429,301039,145242
2019,1989322,1064440,682788,1743309,327273,286170,158595,238850,209206,139882
2020,338877,211816,136664,170432,48644,55330,19998,55273,39980,23359
