Year,Accommodation Services,Food and Beverage,Transportation,Travel agencies and Reservations,Entertainment and Recreation,Shopping,Miscellaneous
2000,30148,16251,12823,190,12014,11965,15399
2001,35099,17100,19994,230,10246,11841,8530
2002,35154,15591,26428,84,8444,13511,12708
2003,31017,16006,28975,97,8277,14581,7709
2004,36047,23033,31338,143,11724,20277,8111
2005,32164,23255,30378,489,13432,23551,2637
2006,41461,34740,33169,594,11083,37577,4840
2007,38594,39843,34340,118,8037,27809,2253
2008,28667,26206,30559,365,8007,31385,1625
2009,25944,27177,28178,1624,8435,31985,1530
2010,23957,30728,30574,811,17640,31065,1982
2011,30638,32049,39358,423,19888,35692,1914
2012,46518,41205,44059,533,24194,37377,3110
2013,62384,54001,45729,343,22965,37764,4154
2014,80979,60591,53664,2002,30998,46689,4435
2015,92156,69805,61449,3918,36368,42390,3141
2016,81699,75041,72159,2431,39951,39471,3859
2017,104058,117589,93275,1486,64476,64240,7507
2018,113890,105737,102033,2685,64342,48366,8530
2019,191474,135035,120783,3622,73235,66128,9802
2020,37939,27652,35732,708,14505,14137,1912
