"Inbound Tourism Expenditure by Products"

"Consumption Products";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"..Tourism characteristics products";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"….Accommodation services for visitors";30148;35099;35154;31017;36047;32164;41461;38594;28667;25944;23957;30638;46518;62384;80979;92156;81699;104058;113890;191474;37939
"….Food and beverage serving services";16251;17100;15591;16006;23033;23255;34740;39843;26206;27177;30728;32049;41205;54001;60591;69805;75041;117589;105737;135035;27652
"….Transport services";12823;19994;26428;28975;31338;30378;33169;34340;30559;28178;30574;39358;44059;45729;53664;61449;72159;93275;102033;120783;35732
"….Travel agencies and other reservation services";190;230;84;97;143;489;594;118;365;1624;811;423;533;343;2002;3918;2431;1486;2685;3622;708
"….Entertainment and recreation services";12014;10246;8444;8277;11724;13432;11083;8037;8007;8435;17640;19888;24194;22965;30998;36368;39951;64476;64342;73235;14505
"….Country-specific tourism characteric services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"……Shopping";11965;11841;13511;14581;20277;23551;37577;27809;31385;31985;31065;35692;37377;37764;46689;42390;39471;64240;48366;66128;14137
"….Miscellaneous";15399;8530;12708;7709;8111;2637;4840;2253;1625;1530;1982;1914;3110;4154;4435;3141;3859;7507;8530;9802;1912
"Total Inbound Tourism Expenditure";98791;103040;111920;106661;130672;125907;163465;150995;126814;124873;136756;159962;196995;227339;279358;309227;314610;452632;445583;600079;132585
